datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 09/11  1:35,10,35,0.4,0.6,0.4,0.6
 09/11  1:36,10,35,0.4,0.6,0.4,0.6
 09/11  1:37,10,35,0.4,0.6,0.4,0.6
 09/11  1:38,10,35,0.4,0.6,0.4,0.6
 09/11  1:39,10,35,0.4,0.6,0.4,0.6
 09/11  1:40,10,35,0.4,0.6,0.4,0.6
 09/11  1:41,10,35,0.4,0.6,0.4,0.6
 09/11  1:42,10,35,0.4,0.6,0.4,0.6
 09/11  1:43,10,35,0.4,0.6,0.4,0.6
 09/11  1:44,10,35,0.4,0.6,0.4,0.6
 09/11  1:45,10,35,0.4,0.6,0.4,0.6
 09/11  1:46,10,35,0.4,0.6,0.4,0.6
 09/11  1:47,10,35,0.4,0.6,0.4,0.6
 09/11  1:48,10,35,0.4,0.6,0.4,0.6
 09/11  1:49,10,35,0.4,0.6,0.4,0.6
 09/11  1:50,10,35,0.4,0.6,0.4,0.6
 09/11  1:51,10,35,0.4,0.6,0.4,0.6
 09/11  1:52,10,35,0.4,0.6,0.4,0.6
 09/11  1:53,10,35,0.4,0.6,0.4,0.6
 09/11  1:54,10,35,0.4,0.6,0.4,0.6
 09/11  1:55,10,35,0.4,0.6,0.4,0.6
 09/11  1:56,10,35,0.4,0.6,0.4,0.6
 09/11  1:57,10,35,0.4,0.6,0.4,0.6
 09/11  1:58,10,35,0.4,0.6,0.4,0.6
 09/11  1:59,10,35,0.4,0.6,0.4,0.6
 09/11  2:00,10,35,0.4,0.6,0.4,0.6
 09/11  2:01,10,35,0.4,0.6,0.4,0.6
 09/11  2:02,10,35,0.4,0.6,0.4,0.6
 09/11  2:03,10,35,0.4,0.6,0.4,0.6
 09/11  2:04,10,35,0.4,0.6,0.4,0.6
 09/11  2:05,10,35,0.4,0.6,0.4,0.6
 09/11  2:06,10,35,0.4,0.6,0.4,0.6
 09/11  2:07,10,35,0.4,0.6,0.4,0.6
 09/11  2:08,10,35,0.4,0.6,0.4,0.6
 09/11  2:09,10,35,0.4,0.6,0.4,0.6
 09/11  2:10,10,35,0.4,0.6,0.4,0.6
 09/11  2:11,10,35,0.4,0.6,0.4,0.6
 09/11  2:12,10,35,0.4,0.6,0.4,0.6
 09/11  2:13,10,35,0.4,0.6,0.4,0.6
 09/11  2:14,10,35,0.4,0.6,0.4,0.6
 09/11  2:15,10,35,0.4,0.6,0.4,0.6
 09/11  2:16,10,35,0.4,0.6,0.4,0.6
 09/11  2:17,10,35,0.4,0.6,0.4,0.6
 09/11  2:18,10,35,0.4,0.6,0.4,0.6
 09/11  2:19,10,35,0.4,0.6,0.4,0.6
 09/11  2:20,10,35,0.4,0.6,0.4,0.6
 09/11  2:21,10,35,0.4,0.6,0.4,0.6
 09/11  2:22,10,35,0.4,0.6,0.4,0.6
 09/11  2:23,10,35,0.4,0.6,0.4,0.6
 09/11  2:24,10,35,0.4,0.6,0.4,0.6
 09/11  2:25,10,35,0.4,0.6,0.4,0.6
 09/11  2:26,10,35,0.4,0.6,0.4,0.6
 09/11  2:27,10,35,0.4,0.6,0.4,0.6
 09/11  2:28,10,35,0.4,0.6,0.4,0.6
 09/11  2:29,10,35,0.4,0.6,0.4,0.6
 09/11  2:30,10,35,0.4,0.6,0.4,0.6
 09/11  2:31,10,35,0.4,0.6,0.4,0.6
 09/11  2:32,10,35,0.4,0.6,0.4,0.6
 09/11  2:33,10,35,0.4,0.6,0.4,0.6
 09/11  2:34,10,35,0.4,0.6,0.4,0.6
 09/11  2:35,10,35,0.4,0.6,0.4,0.6
 09/11  2:36,10,35,0.4,0.6,0.4,0.6
 09/11  2:37,10,35,0.4,0.6,0.4,0.6
 09/11  2:38,10,35,0.4,0.6,0.4,0.6
 09/11  2:39,10,35,0.4,0.6,0.4,0.6
 09/11  2:40,10,35,0.4,0.6,0.4,0.6
 09/11  2:41,10,35,0.4,0.6,0.4,0.6
 09/11  2:42,10,35,0.4,0.6,0.4,0.6
 09/11  2:43,10,35,0.4,0.6,0.4,0.6
 09/11  2:44,10,35,0.4,0.6,0.4,0.6
 09/11  2:45,10,35,0.4,0.6,0.4,0.6
 09/11  2:46,10,35,0.4,0.6,0.4,0.6
 09/11  2:47,10,35,0.4,0.6,0.4,0.6
 09/11  2:48,10,35,0.4,0.6,0.4,0.6
 09/11  2:49,10,35,0.4,0.6,0.4,0.6
 09/11  2:50,10,35,0.4,0.6,0.4,0.6
