datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 01/03  02:17:00,22.67978422,30,1.5,1.5,1.5,1.5
 01/03  02:18:00,22.98672093,30,1.5,1.5,1.5,1.5
 01/03  02:19:00,23.16203892,30,1.5,1.5,1.5,1.5
 01/03  02:20:00,22.71864096,30,1.5,1.5,1.5,1.5
 01/03  02:21:00,22.03827494,30,1.5,1.5,1.5,1.5
 01/03  02:22:00,21.67569092,30,1.5,1.5,1.5,1.5
 01/03  02:23:00,21.86522882,30,1.5,1.5,1.5,1.5
 01/03  02:24:00,22.26298731,30,1.5,1.5,1.5,1.5
 01/03  02:25:00,22.64484998,30,1.5,1.5,1.5,1.5
 01/03  02:26:00,22.94163359,30,1.5,1.5,1.5,1.5
 01/03  02:27:00,23.16049138,30,1.5,1.5,1.5,1.5
 01/03  02:28:00,22.73044818,30,1.5,1.5,1.5,1.5
 01/03  02:29:00,22.04135172,30,1.5,1.5,1.5,1.5
 01/03  02:30:00,21.67607848,30,1.5,1.5,1.5,1.5
 01/03  02:31:00,21.85718617,30,1.5,1.5,1.5,1.5
 01/03  02:32:00,22.2446351,30,1.5,1.5,1.5,1.5
 01/03  02:33:00,22.61700191,30,1.5,1.5,1.5,1.5
 01/03  02:34:00,22.90580195,30,1.5,1.5,1.5,1.5
 01/03  02:35:00,23.11840236,30,1.5,1.5,1.5,1.5
 01/03  02:36:00,23.1654269,30,1.5,1.5,1.5,1.5
 01/03  02:37:00,22.6532573,30,1.5,1.5,1.5,1.5
 01/03  02:38:00,21.94502408,30,1.5,1.5,1.5,1.5
 01/03  02:39:00,21.67382862,30,1.5,1.5,1.5,1.5
 01/03  02:40:00,21.89885629,30,1.5,1.5,1.5,1.5
 01/03  02:41:00,22.28673403,30,1.5,1.5,1.5,1.5
 01/03  02:42:00,22.64281533,30,1.5,1.5,1.5,1.5
 01/03  02:43:00,22.91472622,30,1.5,1.5,1.5,1.5
 01/03  02:44:00,23.11473805,30,1.5,1.5,1.5,1.5
 01/03  02:45:00,23.16533319,30,1.5,1.5,1.5,1.5
 01/03  02:46:00,22.65073483,30,1.5,1.5,1.5,1.5
 01/03  02:47:00,21.93564806,30,1.5,1.5,1.5,1.5
 01/03  02:48:00,21.67358497,30,1.5,1.5,1.5,1.5
 01/03  02:49:00,21.89951075,30,1.5,1.5,1.5,1.5
 01/03  02:50:00,22.28219393,30,1.5,1.5,1.5,1.5
 01/03  02:51:00,22.63139544,30,1.5,1.5,1.5,1.5
 01/03  02:52:00,22.89712498,30,1.5,1.5,1.5,1.5
 01/03  02:53:00,23.09222658,30,1.5,1.5,1.5,1.5
 01/03  02:54:00,23.16475557,30,1.5,1.5,1.5,1.5
 01/03  02:55:00,22.65640031,30,1.5,1.5,1.5,1.5
 01/03  02:56:00,21.93622418,30,1.5,1.5,1.5,1.5
 01/03  02:57:00,21.6735975,30,1.5,1.5,1.5,1.5
 01/03  02:58:00,21.89537728,30,1.5,1.5,1.5,1.5
 01/03  02:59:00,22.27219782,30,1.5,1.5,1.5,1.5
 01/03  03:00:00,22.61571843,30,1.5,1.5,1.5,1.5
 01/03  03:01:00,22.36894277,30,1.5,1.5,1.5,1.5
 01/03  03:02:00,21.88255802,30,1.5,1.5,1.5,1.5
 01/03  03:03:00,21.39475776,30,1.5,1.5,1.5,1.5
 01/03  03:04:00,20.98486797,30,1.5,1.5,1.5,1.5
 01/03  03:05:00,20.65150467,30,1.5,1.5,1.5,1.5
 01/03  03:06:00,20.37380601,30,1.5,1.5,1.5,1.5
 01/03  03:07:00,20.13498507,30,1.5,1.5,1.5,1.5
 01/03  03:08:00,19.92510773,30,1.5,1.5,1.5,1.5
 01/03  03:09:00,19.73866047,30,1.5,1.5,1.5,1.5
 01/03  03:10:00,19.57215331,30,1.5,1.5,1.5,1.5
 01/03  03:11:00,19.42277236,30,1.5,1.5,1.5,1.5
 01/03  03:12:00,19.28805746,30,1.5,1.5,1.5,1.5
 01/03  03:13:00,19.16582132,30,1.5,1.5,1.5,1.5
 01/03  03:14:00,19.05401209,30,1.5,1.5,1.5,1.5
 01/03  03:15:00,18.95052259,30,1.5,1.5,1.5,1.5
 01/03  03:16:00,18.85463314,30,1.5,1.5,1.5,1.5
 01/03  03:17:00,18.76583576,30,1.5,1.5,1.5,1.5
 01/03  03:18:00,18.68349823,30,1.5,1.5,1.5,1.5
 01/03  03:19:00,18.60720301,30,1.5,1.5,1.5,1.5
 01/03  03:20:00,18.53654215,30,1.5,1.5,1.5,1.5
 01/03  03:21:00,18.47105872,30,1.5,1.5,1.5,1.5
 01/03  03:22:00,18.41029222,30,1.5,1.5,1.5,1.5
 01/03  03:23:00,18.3539036,30,1.5,1.5,1.5,1.5
 01/03  03:24:00,18.33334235,30,1.5,1.5,1.5,1.5
 01/03  03:25:00,19.02175993,30,1.5,1.5,1.5,1.5
 01/03  03:26:00,19.81188245,30,1.5,1.5,1.5,1.5
 01/03  03:27:00,20.00455384,30,1.5,1.5,1.5,1.5
 01/03  03:28:00,19.87175478,30,1.5,1.5,1.5,1.5
 01/03  03:29:00,19.6542629,30,1.5,1.5,1.5,1.5
 01/03  03:30:00,19.45477698,30,1.5,1.5,1.5,1.5
 01/03  03:31:00,19.2920342,30,1.5,1.5,1.5,1.5
 01/03  03:32:00,19.15691544,30,1.5,1.5,1.5,1.5
 01/03  03:33:00,19.03870639,30,1.5,1.5,1.5,1.5
